scenario,filter,model,train_time_sec,test_auprc,test_roc_auc,test_max_f1,test_precision_at_max_f1,test_recall_at_max_f1,train_auprc,train_roc_auc,train_max_f1,train_precision_at_max_f1,train_recall_at_max_f1
S1e,mild,NaiveBayes,0.009409666061401367,0.9548927775933131,0.9549112335767815,0.893709327548807,0.8879310344827587,0.8995633187772926,0.9447071060925005,0.943153274209442,0.8817679558011049,0.8916201117318435,0.8721311475409836
S1e,mild,RandForest,1.0544655323028564,0.9644310492186423,0.9666673023016341,0.9175946547884187,0.9363636363636364,0.8995633187772926,1.0,1.0,1.0,1.0,1.0
S1e,aggressive,LogReg,0.26247477531433105,0.992974134422726,0.9930311477396678,0.963963963963964,0.963963963963964,0.963963963963964,0.9999987354021945,0.9999987332664498,0.9994378864530634,0.998876404494382,1.0
S1e,aggressive,SVM (RBF),4.397958993911743,0.9949733610479956,0.9947279117682705,0.9748283752860413,0.9906976744186047,0.9594594594594594,0.9986902966572426,0.9986293942986856,0.9813242784380305,0.9874715261958997,0.9752530933633295
S1e,aggressive,XGBoost,4.782889366149902,0.9838040592198147,0.9838605421565062,0.9382151029748285,0.9534883720930233,0.9234234234234234,1.0,1.0,1.0,1.0,1.0
S1e,aggressive,Dummy,0.0,0.6178896593222436,0.4965963721569102,0.6656671664167916,0.49887640449438203,1.0,0.6266304952495135,0.5030971635302345,0.6669167291822956,0.5002813731007316,1.0
S1e,aggressive,SVM (Lin),1.75099515914917,0.9956043923191,0.9951319032036521,0.9797752808988766,0.9775784753363229,0.9819819819819819,1.0,1.0,1.0,1.0,1.0
S1e,aggressive,NaiveBayes,0.019473552703857422,0.9544556191162291,0.9529551973498162,0.8977777777777779,0.8859649122807017,0.9099099099099099,0.9482812716070068,0.9465558781503662,0.8799553322166388,0.8736141906873615,0.8863892013498312
S1e,aggressive,RandForest,0.7895302772521973,0.9848203372251552,0.9830525592857431,0.9366515837104072,0.9409090909090909,0.9324324324324325,0.9999999999999999,1.0,1.0,1.0,1.0
S1a,none,LogReg,0.1810896396636963,0.9587785061229769,0.9907861672849109,0.8869565217391304,0.9444444444444444,0.8360655737704918,1.0,1.0,1.0,1.0,1.0
S1a,none,LogReg,0.12418794631958008,0.9587785061229769,0.9907861672849109,0.8869565217391304,0.9444444444444444,0.8360655737704918,1.0,1.0,1.0,1.0,1.0
S1a,none,SVM (RBF),4.538388729095459,0.9564012882658555,0.9917434486059591,0.8976377952755905,0.8636363636363636,0.9344262295081968,0.9982734050179961,0.9997377648574939,0.9796747967479675,0.9717741935483871,0.9877049180327869
S1a,none,XGBoost,4.652886867523193,0.8615467595297195,0.9723983885764429,0.765625,0.7313432835820896,0.8032786885245902,1.0,1.0,1.0,1.0,1.0
S1a,none,Dummy,0.0,0.1535968858871054,0.477404172151091,0.22889305816135083,0.1292372881355932,1.0,0.19605661505317878,0.5049937063565798,0.22921559417566933,0.12944297082228118,1.0
S1a,none,SVM (Lin),1.7628850936889648,0.9555569020765005,0.9904271867895178,0.8769230769230769,0.8260869565217391,0.9344262295081968,1.0,1.0,1.0,1.0,1.0
S1a,none,NaiveBayes,0.017055034637451172,0.7930425712613046,0.9463922460212995,0.7153284671532848,0.6447368421052632,0.8032786885245902,0.8581905380198781,0.9593235831809872,0.7936507936507937,0.7692307692307693,0.819672131147541
S1a,none,RandForest,0.6484124660491943,0.868233174809219,0.9738941406405807,0.7692307692307693,0.8035714285714286,0.7377049180327869,0.9999999999999999,1.0,1.0,1.0,1.0
S1a,mild,LogReg,0.15445494651794434,0.9567489938770646,0.9906189926951173,0.897196261682243,0.8571428571428571,0.9411764705882353,1.0,1.0,1.0,1.0,1.0
S1a,mild,SVM (RBF),1.8439269065856934,0.9445494521737697,0.9887735486351403,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.9967930829710522,0.9992465951898,0.9801980198019801,0.9850746268656716,0.9753694581280788
S1a,mild,XGBoost,3.156294822692871,0.9283856273370379,0.9828527489427143,0.8623853211009175,0.8103448275862069,0.9215686274509803,0.9999999999999999,1.0,1.0,1.0,1.0
S1a,mild,Dummy,0.0009999275207519531,0.15522875816993464,0.44705882352941173,0.2857142857142857,0.16666666666666666,1.0,0.22861220334881738,0.49353569013812415,0.2847124824684432,0.16598528209321342,1.0
S1a,mild,SVM (Lin),0.9886739253997803,0.9505705161560318,0.9878508266051519,0.8727272727272728,0.8135593220338984,0.9411764705882353,1.0,1.0,1.0,1.0,1.0
S1a,mild,NaiveBayes,0.014345169067382812,0.8377712081537952,0.9553633217993079,0.7747747747747747,0.7166666666666667,0.8431372549019608,0.8627436546886879,0.9555394571621751,0.7765363128491619,0.896774193548387,0.6847290640394089
S1a,mild,RandForest,0.4321315288543701,0.8959990858597185,0.9785851595540176,0.8125,0.8666666666666667,0.7647058823529411,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
S1a,aggressive,LogReg,0.10805201530456543,0.923613159297195,0.9721945551128818,0.8602150537634408,0.8888888888888888,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
S1a,aggressive,SVM (RBF),1.581883192062378,0.9210308948827772,0.9739375830013279,0.8478260869565218,0.8863636363636364,0.8125,0.9985987479486629,0.9996961801085513,0.9846153846153847,0.9795918367346939,0.9896907216494846
S1a,aggressive,XGBoost,3.1199405193328857,0.8676230259281611,0.9552622841965471,0.7809523809523811,0.7192982456140351,0.8541666666666666,0.9999999999999999,1.0,1.0,1.0,1.0
S1a,aggressive,Dummy,0.0,0.19395860350829297,0.47684262948207173,0.276657060518732,0.1605351170568562,1.0,0.18747671397569432,0.469368260605374,0.279337652987761,0.16234309623430962,1.0
S1a,aggressive,SVM (Lin),1.161898136138916,0.9157418135780653,0.9680444887118195,0.8686868686868686,0.8431372549019608,0.8958333333333334,0.9999999999999999,1.0,1.0,1.0,1.0
S1a,aggressive,NaiveBayes,0.019992351531982422,0.7507477367663425,0.9095285524568394,0.6813186813186812,0.7209302325581395,0.6458333333333334,0.8967346416324403,0.9672724183033462,0.8096514745308312,0.8435754189944135,0.7783505154639175
S1a,aggressive,RandForest,0.6450090408325195,0.8908529922292573,0.9593293492695883,0.7956989247311829,0.8222222222222222,0.7708333333333334,1.0,1.0,1.0,1.0,1.0
S1b,none,LogReg,0.03988480567932129,0.9838205230017356,0.9828003224939532,0.9218749999999999,0.8805970149253731,0.9672131147540983,0.9999999999999999,1.0,1.0,1.0,1.0
S1b,none,SVM (RBF),0.14687585830688477,0.9822157076669396,0.9811878527277613,0.923076923076923,0.9642857142857143,0.8852459016393442,0.9967215412468627,0.9957336737436173,0.9795081967213115,0.9795081967213115,0.9795081967213115
S1b,none,XGBoost,1.6894125938415527,0.957450504373203,0.9591507659231389,0.9133858267716536,0.8787878787878788,0.9508196721311475,0.9999999999999999,1.0,1.0,1.0,1.0
S1b,none,Dummy,0.0,0.6757006874669487,0.5655737704918032,0.6666666666666666,0.5,1.0,0.6282699686083013,0.5102459016393442,0.6666666666666666,0.5,1.0
S1b,none,SVM (Lin),0.07716155052185059,0.978700553883856,0.9795753829615694,0.9333333333333333,0.9491525423728814,0.9180327868852459,0.9999999999999999,1.0,1.0,1.0,1.0
S1b,none,NaiveBayes,0.0040056705474853516,0.9355746933425007,0.9376511690405804,0.8907563025210085,0.9137931034482759,0.8688524590163934,0.9716361938695225,0.9675070545552271,0.9059829059829059,0.9464285714285714,0.8688524590163934
S1b,none,RandForest,0.24555754661560059,0.9700673627787787,0.9677506046761623,0.8943089430894309,0.8870967741935484,0.9016393442622951,1.0,1.0,1.0,1.0,1.0
S1b,mild,LogReg,0.06305313110351562,0.990516740270721,0.9888504421376393,0.96,0.9795918367346939,0.9411764705882353,1.0,1.0,1.0,1.0,1.0
S1b,mild,SVM (RBF),0.09978866577148438,0.9926924444618908,0.9915417147251058,0.9696969696969697,1.0,0.9411764705882353,0.9982443258840541,0.9981557426775705,0.9852216748768473,0.9852216748768473,0.9852216748768473
S1b,mild,XGBoost,1.7070400714874268,0.9816496833484156,0.9803921568627451,0.9400000000000001,0.9591836734693877,0.9215686274509803,1.0,1.0,1.0,1.0,1.0
S1b,mild,Dummy,0.0010039806365966797,0.5898692810457516,0.44117647058823534,0.6666666666666666,0.5,1.0,0.6257673361121637,0.5073891625615763,0.6666666666666666,0.5,1.0
S1b,mild,SVM (Lin),0.05986666679382324,0.9899276457427362,0.9884659746251442,0.9607843137254902,0.9607843137254902,0.9607843137254902,1.0,1.0,1.0,1.0,1.0
S1b,mild,NaiveBayes,0.004007577896118164,0.9440494961937971,0.9488658208381392,0.888888888888889,0.9166666666666666,0.8627450980392157,0.9678545050430195,0.962884321386105,0.9,0.8709677419354839,0.9310344827586207
S1b,mild,RandForest,0.20595574378967285,0.9811257599558688,0.9803921568627452,0.9333333333333333,0.9074074074074074,0.9607843137254902,0.9999999999999999,1.0,1.0,1.0,1.0
S1b,aggressive,LogReg,0.05010509490966797,0.9890876763578865,0.9868197278911565,0.9574468085106383,0.9782608695652174,0.9375,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,SVM (RBF),0.0783689022064209,0.9903768726916015,0.9893707482993197,0.968421052631579,0.9787234042553191,0.9583333333333334,0.9974867948958753,0.9976229902248812,0.9872122762148339,0.9796954314720813,0.9948453608247423
S1b,aggressive,XGBoost,1.337399959564209,0.9653933673380763,0.9621598639455783,0.8846153846153847,0.8214285714285714,0.9583333333333334,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,Dummy,0.0,0.6137113402061856,0.48469387755102045,0.6620689655172414,0.4948453608247423,1.0,0.64513643399517,0.5297526841514876,0.6678141135972461,0.5012919896640827,1.0
S1b,aggressive,SVM (Lin),0.0479888916015625,0.979861548781376,0.9757653061224489,0.9400000000000001,0.9038461538461539,0.9791666666666666,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,NaiveBayes,0.0,0.9224638920417194,0.9260204081632653,0.8653846153846154,0.8035714285714286,0.9375,0.9706387410532276,0.9673361465733669,0.9072164948453608,0.9072164948453608,0.9072164948453608
S1b,aggressive,RandForest,0.2199866771697998,0.9571746685431266,0.9551445578231291,0.8979591836734694,0.88,0.9166666666666666,1.0,1.0,1.0,1.0,1.0
S1d,none,LogReg,0.1105659008026123,0.8843803036110225,0.9652334387882275,0.8184818481848184,0.8239202657807309,0.8131147540983606,0.9999052873346157,0.9999050697500012,0.99511665762344,0.9913513513513513,0.9989106753812637
S1d,none,SVM (RBF),4.176397800445557,0.883048735307669,0.9642300194931773,0.8053691275167785,0.8247422680412371,0.7868852459016393,0.9974462248399334,0.9974416297625319,0.9767693138843868,0.9689174705251876,0.9847494553376906
S1d,none,XGBoost,4.965518951416016,0.827309844521495,0.9445562905442111,0.7593582887700535,0.83203125,0.6983606557377049,0.9999999999999999,1.0,1.0,1.0,1.0
S1d,none,Dummy,0.0,0.33409253612714684,0.49014156520627616,0.22915101427498125,0.12940178192617735,1.0,0.6187003925407657,0.4934640522875817,0.6666666666666666,0.5,1.0
S1d,none,SVM (Lin),2.0903587341308594,0.8453570808889157,0.957905921452082,0.7869918699186992,0.7806451612903226,0.7934426229508197,1.0,1.0,1.0,1.0,1.0
S1d,none,NaiveBayes,0.01732921600341797,0.6596770483499468,0.8833429201418848,0.637137989778535,0.6631205673758865,0.6131147540983607,0.9572099500095458,0.9550291673193121,0.8952590959206174,0.90625,0.8845315904139434
S1d,none,RandForest,0.8085634708404541,0.8007537032837235,0.934096283513885,0.7396351575456053,0.7483221476510067,0.7311475409836066,1.0,1.0,1.0,1.0,1.0
S1d,mild,LogReg,0.23563504219055176,0.9222389804138325,0.9750254747568319,0.857685009487666,0.8278388278388278,0.889763779527559,0.9997269019862264,0.9997298320919076,0.9932810750279955,0.9899553571428571,0.996629213483146
S1d,mild,SVM (RBF),3.7931203842163086,0.9243931405139091,0.9755133549482785,0.8482328482328483,0.8986784140969163,0.8031496062992126,0.9956825070347415,0.9959209695745486,0.9709821428571428,0.9645232815964523,0.9775280898876404
S1d,mild,XGBoost,4.139954090118408,0.8793226891619214,0.9520055581287634,0.803347280334728,0.8571428571428571,0.7559055118110236,1.0,1.0,1.0,1.0,1.0
S1d,mild,Dummy,0.0,0.3731121688851283,0.5005805156708353,0.284913067863152,0.16612164813603664,1.0,0.6224642838985206,0.49775280898876395,0.6666666666666666,0.5,1.0
S1d,mild,SVM (Lin),2.091745615005493,0.8846346288423856,0.9659286706808707,0.8155737704918032,0.8504273504273504,0.7834645669291339,0.9999936769909508,0.9999936876656987,0.9994385176866928,0.9988776655443322,1.0
S1d,mild,NaiveBayes,0.015323400497436523,0.7463578489396362,0.9037625443878339,0.6927835051546393,0.7272727272727273,0.6614173228346457,0.9437748471231544,0.9421846989016538,0.8737430167597765,0.8688888888888889,0.8786516853932584
S1d,mild,RandForest,0.7624409198760986,0.8655639066643878,0.9440991199629457,0.7855787476280836,0.7582417582417582,0.8149606299212598,0.9999999999999999,1.0,1.0,1.0,1.0
